Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;31/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - FINAL;Sevilla;AS Roma;27;43;1,0465;28;43;0,8837;0,6279;0,6512;1,2791
2;31/05/2023;13:45;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - SEMI-FINALS;Breda;FC Emmen;37;43;1,6744;28;43;1,4186;0,8605;0,6512;1,5117
3;31/05/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Brazil U20;Tunisia U20;27;43;1,1628;26;41;1,0;0,6279;0,6341;1,262
4;31/05/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Colombia U20;Slovakia U20;32;43;1,2791;22;26;1,4615;0,7442;0,8462;1,5904
5;31/05/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Argentina U20;Nigeria U20;28;43;1,1395;24;37;1,1622;0,6512;0,6486;1,2998
6;31/05/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;England U20;Italy U20;31;43;1,3488;32;43;1,5349;0,7209;0,7442;1,4651
7;31/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 24;Arba;ASO Chlef;28;42;1,2143;24;43;0,9535;0,6667;0,5581;1,2248
8;31/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 24;Magra;CR Belouizdad;23;43;0,8837;25;43;0,9302;0,5349;0,5814;1,1163
9;31/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 24;Paradou;El Bayadh;26;43;0,8605;21;35;0,8286;0,6047;0,6;1,2047
10;31/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 24;Biskra;Constantine;28;43;1,0;25;43;1,0;0,6512;0,5814;1,2326
11;31/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 24;ES Setif;Kabylie;27;43;1,0;22;43;0,7209;0,6279;0,5116;1,1395
12;31/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 24;Oran;Chelghoum;24;43;0,8837;29;42;1,2381;0,5581;0,6905;1,2486
13;31/05/2023;15:30;ANDORRA;PRIMERA DIVISIÓ - RELEGATION - FINAL;UE Engordany;Carroi;26;38;1,3947;38;42;1,4048;0,6842;0,9048;1,589
14;31/05/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Gimnasia L.P. 2;Union de Santa Fe 2;28;43;1,0698;21;43;0,7907;0,6512;0,4884;1,1396
15;31/05/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Newells Old Boys 2;Sarmiento Junin 2;22;43;0,9535;27;43;0,9302;0,5116;0,6279;1,1395
16;31/05/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Platense 2;Argentinos Jrs 2;22;43;0,7674;25;43;1,0;0,5116;0,5814;1,093
17;31/05/2023;20:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Boca Juniors 2;Arsenal Sarandi 2;28;43;0,907;23;43;0,8605;0,6512;0,5349;1,1861
